labels[0][:40]: tensor([ 2917,  2003,  2019,  7899,  2008,  5577,  1037,  4708,  1012,  4339,
         1037,  3433,  2008, 23263, 28123,  1996,  5227,  1012,  1001,  1001,
         1001,  7899,  1024,  2424,  1996,  3872,  1997,  1037,  3482,  2007,
         1037,  3091,  1997,  2260,  4642,  1010,  1037,  9381,  1997,  1020])
unique labels: tensor([    0,   102,  1000,  1001,  1006,  1007,  1008,  1010,  1012,  1013,
         1016,  1018,  1020,  1024,  1027,  1029,  1037,  1055,  1060,  1996,
         1997,  1998,  1999,  2000,  2003,  2004,  2005,  2006,  2007,  2008,
         2011,  2015,  2019,  2022,  2023,  2028,  2031,  2034,  2035,  2036,
         2038,  2048,  2049,  2052,  2057,  2059,  2064,  2065,  2075,  2116,
         2117,  2129,  2144,  2146,  2148,  2168,  2193,  2217,  2224,  2260,
         2292,  2342,  2424,  2445,  2515,  2582,  2592,  2623,  2742,  2773,
         2917,  2965,  3073,  3091,  3180,  3370,  3433,  3482,  3568,  3594,
         3640,  3807,  3872,  3903,  3972,  4171,  4229,  4339,  4420,  4578,
         4642,  4708,  4800,  5227,  5577,  6123,  6146,  6251,  6928,  7446,
         7899,  7953,  8818,  8836,  9381,  9611, 10174, 11915, 11919, 12720,
        12739, 12870, 13443, 15187, 16892, 18107, 18119, 18223, 21646, 22086,
        23263, 24841, 26572, 28123])
ignore_index in CE: -100
Synthetic loss: 441.17724609375
step=0000 | loss=146.934387 | lr=5.00e-05 | grad_norm=44.79 | mem_alloc=933.6MB mem_peak=1222.2MB mem_reserved=1365.2MB
step=0001 | loss=291.981384 | lr=5.00e-05 | grad_norm=88.52 | mem_alloc=933.6MB mem_peak=1624.5MB mem_reserved=1868.6MB
step=0002 | loss=251.536377 | lr=5.00e-05 | grad_norm=100.33 | mem_alloc=932.8MB mem_peak=1624.5MB mem_reserved=1868.6MB
step=0003 | loss=179.163727 | lr=5.00e-05 | grad_norm=104.60 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0004 | loss=260.453735 | lr=5.00e-05 | grad_norm=156.61 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0005 | loss=225.958908 | lr=5.00e-05 | grad_norm=158.53 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0006 | loss=223.860641 | lr=5.00e-05 | grad_norm=185.44 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0007 | loss=257.082703 | lr=5.00e-05 | grad_norm=231.63 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0008 | loss=173.596985 | lr=5.00e-05 | grad_norm=172.41 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0009 | loss=178.843109 | lr=5.00e-05 | grad_norm=181.73 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0010 | loss=201.307251 | lr=4.99e-05 | grad_norm=210.81 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
