labels[0][:40]: tensor([ 2917,  2003,  2019,  7899,  2008,  5577,  1037,  4708,  1012,  4339,
         1037,  3433,  2008, 23263, 28123,  1996,  5227,  1012,  1001,  1001,
         1001,  7899,  1024,  9699,  2019, 23824, 17653,  2005,  1037,  9927,
         2695,  2006,  7976,  4454,  1012,  1001,  1001,  1001,  3433,  1024])
unique labels: tensor([    0,   102,   999,  1000,  1001,  1002,  1004,  1005,  1010,  1011,
         1012,  1015,  1016,  1017,  1018,  1019,  1024,  1029,  1037,  1055,
         1996,  1997,  1998,  1999,  2000,  2003,  2004,  2005,  2006,  2008,
         2009,  2015,  2016,  2019,  2022,  2023,  2024,  2028,  2034,  2040,
         2047,  2060,  2064,  2088,  2111,  2122,  2155,  2171,  2239,  2256,
         2257,  2274,  2293,  2301,  2327,  2349,  2381,  2383,  2429,  2517,
         2532,  2590,  2641,  2651,  2689,  2695,  2711,  2798,  2917,  2925,
         2928,  3006,  3021,  3054,  3160,  3194,  3238,  3274,  3275,  3325,
         3351,  3433,  3437,  3443,  3449,  3602,  3708,  3832,  4022,  4031,
         4059,  4235,  4276,  4339,  4454,  4518,  4551,  4703,  4708,  4895,
         5076,  5227,  5510,  5577,  5658,  5787,  5876,  6711,  6733,  6795,
         7375,  7461,  7523,  7899,  7976,  8670,  9102,  9699,  9798,  9896,
         9927, 10385, 10709, 10822, 11314, 12098, 12208, 12227, 14078, 14163,
        14378, 14558, 15262, 16950, 17613, 17653, 17826, 19217, 19446, 19738,
        20273, 22234, 22414, 23263, 23824, 25682, 27809, 28123, 28370, 28892])
ignore_index in CE: -100
Synthetic loss: 1504.681884765625
step=0000 | loss=961.316650 | lr=5.00e-05 | grad_norm=663.79 | mem_alloc=16715.8MB mem_peak=20858.4MB mem_reserved=22770.9MB
step=0001 | loss=456.946930 | lr=5.00e-05 | grad_norm=660.15 | mem_alloc=16715.0MB mem_peak=20902.1MB mem_reserved=23274.2MB
step=0002 | loss=377.492981 | lr=5.00e-05 | grad_norm=474.21 | mem_alloc=16715.8MB mem_peak=20902.1MB mem_reserved=23274.2MB
step=0003 | loss=265.732941 | lr=5.00e-05 | grad_norm=261.18 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23274.2MB
step=0004 | loss=261.724091 | lr=5.00e-05 | grad_norm=245.52 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23274.2MB
step=0005 | loss=99.558868 | lr=5.00e-05 | grad_norm=296.98 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23274.2MB
step=0006 | loss=142.976059 | lr=5.00e-05 | grad_norm=351.10 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23274.2MB
step=0007 | loss=127.497482 | lr=5.00e-05 | grad_norm=294.26 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23274.2MB
step=0008 | loss=97.004265 | lr=5.00e-05 | grad_norm=193.88 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23274.2MB
step=0009 | loss=85.325668 | lr=5.00e-05 | grad_norm=157.89 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23274.2MB
step=0010 | loss=74.651207 | lr=4.99e-05 | grad_norm=138.61 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23274.2MB
step=0011 | loss=57.712982 | lr=4.99e-05 | grad_norm=95.49 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23274.2MB
